Date,Open,High,Low,Close,Volume
25-Mar-15,42.92,42.92,41.44,41.46,43469907
24-Mar-15,42.78,43.17,42.75,42.90,25513252
23-Mar-15,42.88,43.13,42.78,42.86,26246086
20-Mar-15,42.56,42.98,42.49,42.88,71904529
19-Mar-15,42.26,42.59,42.22,42.28,33879066
18-Mar-15,41.43,42.83,41.33,42.50,44194771
17-Mar-15,41.37,41.83,41.15,41.70,31673448
16-Mar-15,41.47,41.64,41.28,41.56,35273452
13-Mar-15,40.70,41.47,40.61,41.38,58007705
12-Mar-15,41.33,41.65,40.86,41.02,59992502
11-Mar-15,42.31,42.37,41.84,41.98,32215314
10-Mar-15,42.35,42.71,42.03,42.03,39159730
9-Mar-15,42.19,43.12,42.19,42.85,32107957
6-Mar-15,43.00,43.11,42.15,42.36,36248785
5-Mar-15,43.07,43.24,42.82,43.11,23193541
4-Mar-15,43.01,43.21,42.88,43.06,25748692
3-Mar-15,43.56,43.82,43.09,43.28,31748648
2-Mar-15,43.67,44.19,43.55,43.88,31924049
27-Feb-15,44.13,44.20,43.66,43.85,33807740
26-Feb-15,43.99,44.23,43.89,44.06,28957329
25-Feb-15,43.95,44.09,43.80,43.99,29759820
24-Feb-15,44.15,44.30,43.92,44.09,25271747
23-Feb-15,43.70,44.19,43.65,44.15,32518754
20-Feb-15,43.51,43.88,43.29,43.86,29721133
19-Feb-15,43.18,43.53,43.05,43.50,27603420
18-Feb-15,43.63,43.70,43.39,43.53,27111657
17-Feb-15,43.97,44.00,43.19,43.58,33695749
13-Feb-15,43.38,43.87,43.15,43.87,40264887
12-Feb-15,42.66,43.09,42.51,43.09,33268831
11-Feb-15,42.65,42.65,42.21,42.38,38262509
10-Feb-15,42.74,42.77,42.18,42.60,29670676
9-Feb-15,42.24,42.74,42.21,42.36,31381061
6-Feb-15,42.68,42.79,42.15,42.41,34616554
5-Feb-15,42.22,42.64,41.86,42.45,36548168
4-Feb-15,41.94,42.21,41.36,41.84,41614812
3-Feb-15,41.63,41.93,41.04,41.60,52082448
2-Feb-15,40.59,41.37,40.23,41.28,50352532
30-Jan-15,41.55,41.58,40.35,40.40,78004944
29-Jan-15,40.93,42.12,40.79,42.01,63585273
28-Jan-15,42.74,42.79,41.16,41.19,84507078
27-Jan-15,42.95,43.20,42.10,42.66,169163953
26-Jan-15,47.00,47.13,46.24,47.01,42525530
23-Jan-15,47.36,47.39,46.80,47.18,26211594
22-Jan-15,46.38,47.14,46.08,47.13,35898035
21-Jan-15,45.94,46.14,45.48,45.92,39081143
20-Jan-15,46.30,46.65,45.57,46.39,36161860
16-Jan-15,45.31,46.28,45.17,46.24,35695289
15-Jan-15,46.22,46.38,45.41,45.48,32750779
14-Jan-15,45.96,46.24,45.62,45.96,29719580
13-Jan-15,46.97,47.91,46.06,46.36,35270601
12-Jan-15,47.42,47.54,46.36,46.60,23651887
9-Jan-15,47.61,47.82,46.90,47.19,23944181
8-Jan-15,46.75,47.75,46.72,47.59,29645202
7-Jan-15,45.98,46.46,45.49,46.23,29114061
6-Jan-15,46.38,46.75,45.54,45.65,36447854
5-Jan-15,46.37,46.73,46.25,46.32,39673865
2-Jan-15,46.66,47.42,46.54,46.76,27913852
31-Dec-14,46.73,47.44,46.45,46.45,21552450
30-Dec-14,47.44,47.62,46.84,47.02,16384692
29-Dec-14,47.70,47.78,47.26,47.45,14439518
26-Dec-14,48.41,48.41,47.82,47.88,13197817
24-Dec-14,48.64,48.64,48.08,48.14,11442790
23-Dec-14,48.37,48.80,48.13,48.45,23656529
22-Dec-14,47.78,48.12,47.71,47.98,26565984
19-Dec-14,47.63,48.10,47.17,47.66,64551182
18-Dec-14,46.58,47.52,46.34,47.52,40105550
17-Dec-14,45.05,45.94,44.90,45.74,34970865
16-Dec-14,45.90,46.34,45.13,45.16,47801392
15-Dec-14,47.20,47.67,46.55,46.67,29247761
12-Dec-14,46.78,47.73,46.67,46.95,34248371
11-Dec-14,47.08,47.74,46.68,47.17,29061918
10-Dec-14,47.58,47.66,46.70,46.90,30431788
9-Dec-14,47.11,47.92,47.05,47.59,24330506
8-Dec-14,48.26,48.35,47.44,47.70,26663107
5-Dec-14,48.82,48.97,48.38,48.42,27313449
4-Dec-14,48.39,49.06,48.20,48.84,30345132
3-Dec-14,48.44,48.50,47.80,48.08,23534752
2-Dec-14,48.84,49.05,48.20,48.46,25773478
1-Dec-14,47.88,48.78,47.71,48.62,31191575
28-Nov-14,47.95,48.20,47.61,47.81,21534426
26-Nov-14,47.49,47.99,47.28,47.75,27164877
25-Nov-14,47.66,47.97,47.45,47.47,28007993
24-Nov-14,47.99,48.00,47.39,47.59,35434245
21-Nov-14,49.02,49.05,47.57,47.98,42884795
20-Nov-14,48.00,48.70,47.87,48.70,21510587
19-Nov-14,48.66,48.75,47.93,48.22,26177450
18-Nov-14,49.13,49.32,48.70,48.74,23996457
17-Nov-14,49.41,49.70,49.14,49.46,30318648
14-Nov-14,49.74,50.04,49.39,49.58,29081657
13-Nov-14,48.81,49.64,48.70,49.61,26210433
12-Nov-14,48.56,48.92,48.52,48.78,22722123
11-Nov-14,48.85,48.93,48.64,48.87,23445239
10-Nov-14,48.65,49.15,48.55,48.89,36370067
7-Nov-14,48.92,48.92,48.29,48.68,28000598
6-Nov-14,47.86,48.86,47.79,48.70,33037841
5-Nov-14,47.80,47.90,47.26,47.86,22449594
4-Nov-14,47.30,47.73,47.25,47.57,21530813
3-Nov-14,46.89,47.46,46.73,47.44,23130397
31-Oct-14,46.94,46.97,46.48,46.95,35849656
30-Oct-14,46.32,46.32,45.77,46.05,30073873
29-Oct-14,46.44,46.70,46.34,46.62,30283622
28-Oct-14,45.86,46.50,45.77,46.49,29049750
27-Oct-14,45.71,46.10,45.71,45.91,30371308
24-Oct-14,46.83,46.90,45.18,46.13,61081039
23-Oct-14,44.62,45.44,44.53,45.02,45451869
22-Oct-14,45.00,45.07,44.22,44.38,33579817
21-Oct-14,44.36,44.98,44.19,44.88,36433824
20-Oct-14,43.06,44.14,42.81,44.08,34530887
17-Oct-14,43.20,43.94,42.79,43.63,40683346
16-Oct-14,42.53,43.08,42.22,42.74,49040989
15-Oct-14,43.00,43.39,42.10,43.22,60220961
14-Oct-14,43.87,44.38,43.56,43.73,38120558
13-Oct-14,43.82,44.56,43.49,43.65,37100207
10-Oct-14,45.60,46.12,43.95,44.03,51978146
9-Oct-14,46.50,46.80,45.74,45.85,34426595
8-Oct-14,45.48,46.89,45.34,46.78,33030972
7-Oct-14,45.86,45.93,45.42,45.53,25724544
6-Oct-14,46.12,46.30,45.92,46.09,20603960
3-Oct-14,45.98,46.30,45.61,46.09,32453273
2-Oct-14,45.83,46.10,45.64,45.76,25119508
1-Oct-14,46.27,46.53,45.84,45.90,38088355
30-Sep-14,46.37,46.48,46.01,46.36,33033086
29-Sep-14,45.98,46.56,45.76,46.44,26090980
26-Sep-14,45.93,46.62,45.76,46.41,27078764
25-Sep-14,46.88,47.09,46.03,46.04,33077385
24-Sep-14,46.63,47.11,46.34,47.08,26582713
23-Sep-14,46.85,46.98,46.47,46.56,33431078
22-Sep-14,47.30,47.38,46.98,47.06,38686091
19-Sep-14,46.81,47.57,46.60,47.52,202526536
18-Sep-14,46.59,46.83,46.46,46.68,35556632
17-Sep-14,46.26,46.69,46.23,46.52,38311924
16-Sep-14,46.39,46.85,46.29,46.76,27910571
15-Sep-14,46.54,46.71,46.10,46.24,37667644
12-Sep-14,46.91,47.02,46.60,46.70,38247122
11-Sep-14,46.74,47.00,46.47,47.00,29216560
10-Sep-14,46.82,46.94,46.28,46.84,27304409
9-Sep-14,46.47,46.97,46.42,46.76,40302386
8-Sep-14,46.02,46.80,45.99,46.47,45736730
5-Sep-14,45.11,45.93,45.11,45.91,36939360
4-Sep-14,44.74,45.27,44.72,45.26,26478082
3-Sep-14,44.53,45.11,44.53,44.96,33689341
2-Sep-14,45.43,45.46,44.85,45.09,22976775
29-Aug-14,45.09,45.44,44.86,45.43,21608625
28-Aug-14,44.75,44.98,44.61,44.88,17657643
27-Aug-14,44.90,45.00,44.76,44.87,21287931
26-Aug-14,45.31,45.40,44.94,45.00,14877669
25-Aug-14,45.40,45.44,45.04,45.17,16909999
22-Aug-14,45.35,45.47,45.07,45.15,18294741
21-Aug-14,44.84,45.25,44.83,45.22,22285502
20-Aug-14,45.34,45.40,44.90,44.95,24770487
19-Aug-14,44.97,45.34,44.83,45.33,28139494
18-Aug-14,44.94,45.11,44.68,45.11,26895359
15-Aug-14,44.58,44.90,44.40,44.79,41611308
14-Aug-14,44.08,44.42,44.01,44.27,19313194
13-Aug-14,43.68,44.18,43.52,44.08,22889484
12-Aug-14,43.04,43.59,43.00,43.52,21433589
11-Aug-14,43.26,43.45,43.02,43.20,20351600
8-Aug-14,43.23,43.32,42.91,43.20,28943024
7-Aug-14,42.84,43.45,42.65,43.23,30315183
6-Aug-14,42.74,43.17,42.21,42.74,24633966
5-Aug-14,43.37,43.46,42.83,43.08,26267500
4-Aug-14,42.97,43.47,42.81,43.37,34277387
1-Aug-14,43.21,43.25,42.60,42.86,31171094
31-Jul-14,43.38,43.69,43.08,43.16,31540882
